delta,eta,db_mean,dr_mean,turnover_mean,failure_rate,active_rate,sharpe,annotation,is_highlighted_d08
0.01,0.0,0.0150403400948619,0.0038836395618663,0.0679023590725284,0.0,1.0,1.406892569991996,"DR 0.004
TO 0.068",False
0.01,0.01,0.0150413515963119,0.0038830619365545,0.0675875146565024,0.0,1.0,1.4069627836524672,"DR 0.004
TO 0.068",False
0.01,0.02,0.0150424095448652,0.0038826173031082,0.0672809787419776,0.0,1.0,1.4070354748937783,"DR 0.004
TO 0.067",False
0.01,0.05,0.0150458297516698,0.0038819849785005,0.0664043154563447,0.0,1.0,1.4072658419593496,"DR 0.004
TO 0.066",False
0.02,0.0,0.0220902759705257,0.0015850559675175,0.0644046924992226,0.0,1.0,1.366477978795425,"DR 0.002
TO 0.064",False
0.02,0.01,0.0220909707002105,0.00158475777992,0.0640938482810444,0.0,1.0,1.3666059949201594,"DR 0.002
TO 0.064",False
0.02,0.02,0.0220917181446454,0.001584615644606,0.0637975192464907,0.0,1.0,1.36673564888227,"DR 0.002
TO 0.064",False
0.02,0.05,0.0220942307287096,0.0015849914817475,0.063006019969379,0.0,1.0,1.367125529084222,"DR 0.002
TO 0.063",True
0.03,0.0,0.029874405506214,0.0005695324196616,0.0599603268165683,0.0638297872340425,0.723404255319149,1.3413575119416583,"DR 0.001
TO 0.060",False
0.03,0.01,0.0298722553711238,0.0005693951139594,0.0595712921164631,0.0425531914893616,0.7021276595744681,1.341627109715327,"DR 0.001
TO 0.060",False
0.03,0.02,0.0298705698283372,0.000569435067722,0.0592405863771075,0.0638297872340425,0.7021276595744681,1.3419005862921378,"DR 0.001
TO 0.059",False
0.03,0.05,0.0298668119769624,0.00057041270896,0.0584602212001802,0.0851063829787234,0.723404255319149,1.342662939172624,"DR 0.001
TO 0.058",False
