date,strategy,asset,ctb
2021-01-29,EW,SPY,0.6941329900750178
2021-01-29,EW,VEA,0.3471158730827427
2021-01-29,EW,VWO,-0.19196146983341938
2021-01-29,EW,IEF,0.5140040064776848
2021-01-29,EW,SHY,0.002192406920442992
2021-01-29,EW,TIP,0.9044711641154517
2021-01-29,EW,LQD,0.184129986929602
2021-01-29,EW,VNQ,0.9226883639754653
2021-01-29,EW,GLD,0.8779608851041664
2021-01-29,EW,DBC,0.8907030486523578
2021-01-29,GMV,SPY,0.22218437559804352
2021-01-29,GMV,VEA,0.2405954326149886
2021-01-29,GMV,VWO,0.5205754957188705
2021-01-29,GMV,IEF,0.35589166236417225
2021-01-29,GMV,SHY,0.7492209694048485
2021-01-29,GMV,TIP,0.14795028440099633
2021-01-29,GMV,LQD,0.4602141999629243
2021-01-29,GMV,VNQ,0.16501101005272575
2021-01-29,GMV,GLD,0.13265770670469018
2021-01-29,GMV,DBC,0.16728290758132203
2021-01-29,CtR-only,SPY,0.5580824901591136
2021-01-29,CtR-only,VEA,0.4784407238171337
2021-01-29,CtR-only,VWO,0.2738610463362782
2021-01-29,CtR-only,IEF,0.6323940501557636
2021-01-29,CtR-only,SHY,0.31926372355771554
2021-01-29,CtR-only,TIP,0.6042663392345692
2021-01-29,CtR-only,LQD,0.4790325871921021
2021-01-29,CtR-only,VNQ,0.6515548423576087
2021-01-29,CtR-only,GLD,0.593643967118919
2021-01-29,CtR-only,DBC,0.6379578668595898
2021-01-29,MDP,SPY,0.45476148995835375
2021-01-29,MDP,VEA,0.45476481837443766
2021-01-29,MDP,VWO,0.45467539466945733
2021-01-29,MDP,IEF,0.4998677822182476
2021-01-29,MDP,SHY,0.45463638128580913
2021-01-29,MDP,TIP,0.45474665490471994
2021-01-29,MDP,LQD,0.4547997090864531
2021-01-29,MDP,VNQ,0.4655355095869342
2021-01-29,MDP,GLD,0.4547419005101031
2021-01-29,MDP,DBC,0.45475428431004555
2021-01-29,CtB-only,SPY,0.45887103069896445
2021-01-29,CtB-only,VEA,0.4560350126129529
2021-01-29,CtB-only,VWO,0.45072348850212013
2021-01-29,CtB-only,IEF,0.49732470724179206
2021-01-29,CtB-only,SHY,0.4600017256733702
2021-01-29,CtB-only,TIP,0.4558117280838429
2021-01-29,CtB-only,LQD,0.4525678684664901
2021-01-29,CtB-only,VNQ,0.46529042807393073
2021-01-29,CtB-only,GLD,0.449171872535985
2021-01-29,CtB-only,DBC,0.4556186021484045
2021-01-29,Main,SPY,0.48608175415179233
2021-01-29,Main,VEA,0.486902858173064
2021-01-29,Main,VWO,0.3848795015782852
2021-01-29,Main,IEF,0.5861392375955465
2021-01-29,Main,SHY,0.4168673583844975
2021-01-29,Main,TIP,0.4876825536790858
2021-01-29,Main,LQD,0.505393452994968
2021-01-29,Main,VNQ,0.5367703432942352
2021-01-29,Main,GLD,0.48246388022932507
2021-01-29,Main,DBC,0.5296820355796776
2021-02-26,EW,SPY,0.6854603719419892
2021-02-26,EW,VEA,0.3594738935862253
2021-02-26,EW,VWO,-0.1594733078925099
2021-02-26,EW,IEF,0.5160178724925127
2021-02-26,EW,SHY,0.01122026237736074
2021-02-26,EW,TIP,0.9020885748998725
2021-02-26,EW,LQD,0.19733769637258963
2021-02-26,EW,VNQ,0.9214999847772519
2021-02-26,EW,GLD,0.8769074212980842
2021-02-26,EW,DBC,0.8896506894507441
2021-02-26,GMV,SPY,0.2269627634527204
2021-02-26,GMV,VEA,0.24189001139059238
2021-02-26,GMV,VWO,0.5240184401749827
2021-02-26,GMV,IEF,0.3582020770472072
2021-02-26,GMV,SHY,0.7525613162468927
2021-02-26,GMV,TIP,0.1538157392255026
2021-02-26,GMV,LQD,0.46260495274526753
2021-02-26,GMV,VNQ,0.1696340184871376
2021-02-26,GMV,GLD,0.12928971225753058
2021-02-26,GMV,DBC,0.17752291670227802
2021-02-26,CtR-only,SPY,0.5549258677474175
2021-02-26,CtR-only,VEA,0.47656374094107906
2021-02-26,CtR-only,VWO,0.2856095309010637
2021-02-26,CtR-only,IEF,0.6316045419406707
2021-02-26,CtR-only,SHY,0.32071839154918286
2021-02-26,CtR-only,TIP,0.6178924071244628
2021-02-26,CtR-only,LQD,0.4805909415635055
2021-02-26,CtR-only,VNQ,0.6629403044518101
2021-02-26,CtR-only,GLD,0.5998852413537611
2021-02-26,CtR-only,DBC,0.6518719098197066
2021-02-26,MDP,SPY,0.4600523575758534
2021-02-26,MDP,VEA,0.4600550978539423
2021-02-26,MDP,VWO,0.4599701747415573
2021-02-26,MDP,IEF,0.5002931177576495
2021-02-26,MDP,SHY,0.45992088490545113
2021-02-26,MDP,TIP,0.46003993001588983
2021-02-26,MDP,LQD,0.4600896454280887
2021-02-26,MDP,VNQ,0.47208692980517464
2021-02-26,MDP,GLD,0.4600332548289026
2021-02-26,MDP,DBC,0.46004729431889785
2021-02-26,CtB-only,SPY,0.46388599651184115
2021-02-26,CtB-only,VEA,0.46131995353053
2021-02-26,CtB-only,VWO,0.45732668783512853
2021-02-26,CtB-only,IEF,0.4980265229446198
2021-02-26,CtB-only,SHY,0.46436996229492733
2021-02-26,CtB-only,TIP,0.46041915797989813
2021-02-26,CtB-only,LQD,0.45749841566621585
2021-02-26,CtB-only,VNQ,0.4714883382989781
2021-02-26,CtB-only,GLD,0.4547156833981915
2021-02-26,CtB-only,DBC,0.4608432671236494
2021-02-26,Main,SPY,0.48572961212539223
2021-02-26,Main,VEA,0.4877886990134377
2021-02-26,Main,VWO,0.3952210301232237
2021-02-26,Main,IEF,0.58828530236919
2021-02-26,Main,SHY,0.41923482935993334
