date,strategy,period_return
2021-02-26,EW,0.007291161373771171
2021-02-26,GMV,-0.004094396226211772
2021-02-26,CtR-only,-0.005648972607675162
2021-02-26,MDP,-0.005387124628956519
2021-02-26,CtB-only,-0.005207398991141976
2021-02-26,Main,-0.006554656429749062
2021-03-31,EW,0.00612722157336254
2021-03-31,GMV,-0.005485108315561149
2021-03-31,CtR-only,-0.004630550991507221
2021-03-31,MDP,-0.005397170216651093
2021-03-31,CtB-only,-0.0054080793244181136
2021-03-31,Main,-0.005688650391292738
2021-04-30,EW,0.032828755576856494
2021-04-30,GMV,0.006311593010405181
2021-04-30,CtR-only,0.015193889381529102
2021-04-30,MDP,0.014043947460198325
2021-04-30,CtB-only,0.013937637664064306
2021-04-30,Main,0.01350502013084287
2021-05-28,EW,0.020539228306582835
2021-05-28,GMV,0.003711115323556502
2021-05-28,CtR-only,0.010260804603706708
2021-05-28,MDP,0.0087695856883232
2021-05-28,CtB-only,0.008864169628487018
2021-05-28,Main,0.00926669542170111
2021-06-30,EW,0.005329523893823573
2021-06-30,GMV,0.0018723002371452413
2021-06-30,CtR-only,0.004088457000804624
2021-06-30,MDP,0.002809245554239226
2021-06-30,CtB-only,0.0026843521096104883
2021-06-30,Main,0.0031205678362065115
2021-07-30,EW,0.011723267449357255
2021-07-30,GMV,0.006559029993115528
2021-07-30,CtR-only,0.011126306210895942
2021-07-30,MDP,0.010551819472998991
2021-07-30,CtB-only,0.010630923283158289
2021-07-30,Main,0.010489441337481642
2021-08-31,EW,0.006265804166603273
2021-08-31,GMV,-0.0006917111961859401
2021-08-31,CtR-only,0.0011248914729713455
2021-08-31,MDP,-0.0005187874894020394
2021-08-31,CtB-only,-0.0005377714707676118
2021-08-31,Main,0.0002975957866109269
2021-09-30,EW,-0.019081552148897063
2021-09-30,GMV,-0.0033520445414466638
2021-09-30,CtR-only,-0.010318512785044254
2021-09-30,MDP,-0.006821062699127967
2021-09-30,CtB-only,-0.0067208473433855165
2021-09-30,Main,-0.008088138299107817
2021-10-29,EW,0.026772156411431602
2021-10-29,GMV,-0.0003772055987136813
2021-10-29,CtR-only,0.01016682220826759
2021-10-29,MDP,0.006546496587716666
2021-10-29,CtB-only,0.006430951771869475
2021-10-29,Main,0.008312555405131095
2021-11-30,EW,-0.017985838756018002
2021-11-30,GMV,-0.0003915593137671092
2021-11-30,CtR-only,-0.005938220128376748
2021-11-30,MDP,-0.00615556432031561
2021-11-30,CtB-only,-0.00607574104216746
2021-11-30,Main,-0.005659690133515971
2021-12-31,EW,0.029713423660211458
2021-12-31,GMV,0.0008049866109383075
2021-12-31,CtR-only,0.012075533632815993
2021-12-31,MDP,0.009340321258423545
2021-12-31,CtB-only,0.009327579815614495
2021-12-31,Main,0.010416623202823327
2022-01-31,EW,-0.019714204939283775
2022-01-31,GMV,-0.009462009796016635
2022-01-31,CtR-only,-0.016496771709574864
2022-01-31,MDP,-0.009889576779054554
2022-01-31,CtB-only,-0.009997159638596709
2022-01-31,Main,-0.014035978847064978
2022-02-28,EW,-0.002188603817675383
2022-02-28,GMV,-0.002719190231191271
2022-02-28,CtR-only,-0.002620490834948752
2022-02-28,MDP,-0.001152045560081305
2022-02-28,CtB-only,-0.0011763575897433265
2022-02-28,Main,-0.0016535726880428925
2022-03-31,EW,0.009132007932180608
2022-03-31,GMV,-0.014327876464936828
2022-03-31,CtR-only,-0.006579179094773457
2022-03-31,MDP,-0.008659238323521445
2022-03-31,CtB-only,-0.008498498703565893
2022-03-31,Main,-0.007005639191061452
2022-04-29,EW,-0.03557878035880102
2022-04-29,GMV,-0.014656416857740662
2022-04-29,CtR-only,-0.02831074778145659
2022-04-29,MDP,-0.022649532316271315
2022-04-29,CtB-only,-0.022433451644445546
2022-04-29,Main,-0.026598558396117133
2022-05-31,EW,0.0018362420982627192
2022-05-31,GMV,0.0049549143477456425
2022-05-31,CtR-only,0.002863134187283789
2022-05-31,MDP,0.005194193970639027
2022-05-31,CtB-only,0.0051923123831549844
2022-05-31,Main,0.003259752721754383
2022-06-30,EW,-0.04554470605212224
2022-06-30,GMV,-0.013789824070592038
2022-06-30,CtR-only,-0.02906846249484263
2022-06-30,MDP,-0.022814402783950194
2022-06-30,CtB-only,-0.022953536115392414
2022-06-30,Main,-0.027414370007231126
2022-07-29,EW,0.030002398988107304
2022-07-29,GMV,0.008772302973199197
2022-07-29,CtR-only,0.02166576886778704
2022-07-29,MDP,0.012653287382804468
2022-07-29,CtB-only,0.012524927968387
2022-07-29,Main,0.018123034602318677
2022-08-31,EW,-0.03226927247938638
2022-08-31,GMV,-0.010188787841142966
2022-08-31,CtR-only,-0.025477846073108323
2022-08-31,MDP,-0.01926515071912782
2022-08-31,CtB-only,-0.01887144089542614
2022-08-31,Main,-0.023043221721722906
2022-09-30,EW,-0.07058037693882846
2022-09-30,GMV,-0.019838503312987976
2022-09-30,CtR-only,-0.0497582795699929
2022-09-30,MDP,-0.04110032394657104
2022-09-30,CtB-only,-0.04085259465645952
2022-09-30,Main,-0.045125632830920304
2022-10-31,EW,0.017470495574239298
2022-10-31,GMV,-0.0008541675265707482
2022-10-31,CtR-only,0.007069714295785179
2022-10-31,MDP,0.001040736703392442
2022-10-31,CtB-only,0.0009177975419989437
2022-10-31,Main,0.005790144588802448
2022-11-30,EW,0.061276075033716015
2022-11-30,GMV,0.010026405098164215
2022-11-30,CtR-only,0.040803703279546966
2022-11-30,MDP,0.030722251360122188
2022-11-30,CtB-only,0.0304466558339771
2022-11-30,Main,0.03611110720392263
2022-12-30,EW,-0.019060335214773017
2022-12-30,GMV,0.0003310346237206385
2022-12-30,CtR-only,-0.010244037355052638
2022-12-30,MDP,-0.01018317586016615
2022-12-30,CtB-only,-0.009751865644586633
2022-12-30,Main,-0.008234886820732257
2023-01-31,EW,0.05231484425602306
2023-01-31,GMV,0.008892193701402817
2023-01-31,CtR-only,0.03442098041248354
2023-01-31,MDP,0.02391011872072779
2023-01-31,CtB-only,0.023624737704506016
2023-01-31,Main,0.029303492629764838
2023-02-28,EW,-0.03780271427945692
2023-02-28,GMV,-0.009196336305877906
2023-02-28,CtR-only,-0.027388164698737727
2023-02-28,MDP,-0.023970070745596428
2023-02-28,CtB-only,-0.02363917265665383
2023-02-28,Main,-0.025011864603075806
2023-03-31,EW,0.027424941327008012
2023-03-31,GMV,0.016415047874427824
2023-03-31,CtR-only,0.026362276113149008
2023-03-31,MDP,0.020087052829885543
2023-03-31,CtB-only,0.019096724807274423
2023-03-31,Main,0.02436848954580073
2023-04-28,EW,0.006251654520977867
2023-04-28,GMV,0.0021951378160447454
2023-04-28,CtR-only,0.004510607761986529
2023-04-28,MDP,0.002365541787758385
2023-04-28,CtB-only,0.0020217017162666995
2023-04-28,Main,0.0036069248114671826
2023-05-31,EW,-0.022421196811556188
2023-05-31,GMV,-0.005458510874167044
2023-05-31,CtR-only,-0.016069126063766537
2023-05-31,MDP,-0.01659981977286884
2023-05-31,CtB-only,-0.01699023896710916
2023-05-31,Main,-0.015694485333147212
2023-06-30,EW,0.020702204732685914
2023-06-30,GMV,-0.003303424569472635
2023-06-30,CtR-only,0.008797756515603439
2023-06-30,MDP,0.006481323924789839
2023-06-30,CtB-only,0.00603404427175569
2023-06-30,Main,0.006823821735369107
2023-07-31,EW,0.02492052795089883
2023-07-31,GMV,0.006054314031087582
2023-07-31,CtR-only,0.01590178906334372
2023-07-31,MDP,0.016801167454184807
2023-07-31,CtB-only,0.016628938903045176
2023-07-31,Main,0.01627047916709312
2023-08-31,EW,-0.01880331887166864
2023-08-31,GMV,0.003543819086470945
2023-08-31,CtR-only,-0.010546293307394095
2023-08-31,MDP,-0.0043339794264162235
2023-08-31,CtB-only,-0.004290578767460529
2023-08-31,Main,-0.0077241574266954105
2023-09-29,EW,-0.030271700538993862
2023-09-29,GMV,-0.0011379863587579475
2023-09-29,CtR-only,-0.020606112578005265
2023-09-29,MDP,-0.010652149064423022
2023-09-29,CtB-only,-0.010189804204509989
2023-09-29,Main,-0.016004107112302157
2023-10-31,EW,-0.011413110063116738
2023-10-31,GMV,0.0018850707195423588
2023-10-31,CtR-only,-0.006498487545666398
2023-10-31,MDP,-0.005553082214536764
2023-10-31,CtB-only,-0.004707728515811249
2023-10-31,Main,-0.004812975204635084
2023-11-30,EW,0.0528181660982352
2023-11-30,GMV,0.012689931538868882
2023-11-30,CtR-only,0.037838368047478754
2023-11-30,MDP,0.024968980661166817
2023-11-30,CtB-only,0.023828963059080666
2023-11-30,Main,0.03141846648865987
2023-12-29,EW,0.032955053172125215
2023-12-29,GMV,0.011297705946445191
2023-12-29,CtR-only,0.025013309170457187
2023-12-29,MDP,0.0163755251869091
2023-12-29,CtB-only,0.016056900510444727
2023-12-29,Main,0.02108784987150969
2024-01-31,EW,-0.007839180870338747
2024-01-31,GMV,0.004397502180731205
2024-01-31,CtR-only,-0.00271558920329551
2024-01-31,MDP,0.002268931722010148
2024-01-31,CtB-only,0.0016278811028507256
2024-01-31,Main,-0.00152853910751094
2024-02-29,EW,0.006886722042202864
2024-02-29,GMV,-0.00038897710747565206
2024-02-29,CtR-only,0.0019166486134054583
2024-02-29,MDP,0.0022895661110713394
2024-02-29,CtB-only,0.0021912834367268097
2024-02-29,Main,0.0017193575825842355
2024-03-28,EW,0.027156462795377312
2024-03-28,GMV,0.00755337293526992
2024-03-28,CtR-only,0.02082288719965031
2024-03-28,MDP,0.01969014317567286
2024-03-28,CtB-only,0.019562443200839885
2024-03-28,Main,0.02087324177959382
2024-04-30,EW,-0.018382870835076393
2024-04-30,GMV,-0.005204496353237498
2024-04-30,CtR-only,-0.01297006294549452
2024-04-30,MDP,-0.009142575766585725
2024-04-30,CtB-only,-0.008723550103598376
2024-04-30,Main,-0.009441226176317818
2024-05-31,EW,0.024435568626978377
2024-05-31,GMV,0.008065286972491759
2024-05-31,CtR-only,0.018155676140320542
2024-05-31,MDP,0.014304318057522414
2024-05-31,CtB-only,0.01373907974534494
2024-05-31,Main,0.015464287583176084
2024-06-28,EW,0.008693086964387087
2024-06-28,GMV,0.005613089040708896
2024-06-28,CtR-only,0.007605783125440357
2024-06-28,MDP,0.008515735056731977
2024-06-28,CtB-only,0.008225879158247018
2024-06-28,Main,0.006883807583158541
2024-07-31,EW,0.02436909942067844
2024-07-31,GMV,0.010187719896347591
2024-07-31,CtR-only,0.01767335853746088
