date,strategy,asset,weight
2021-01-29,EW,SPY,0.1
2021-01-29,EW,VEA,0.1
2021-01-29,EW,VWO,0.1
2021-01-29,EW,IEF,0.1
2021-01-29,EW,SHY,0.1
2021-01-29,EW,TIP,0.1
2021-01-29,EW,LQD,0.1
2021-01-29,EW,VNQ,0.1
2021-01-29,EW,GLD,0.1
2021-01-29,EW,DBC,0.1
2021-01-29,GMV,SPY,0.03952783922225191
2021-01-29,GMV,VEA,0.01089622881386561
2021-01-29,GMV,VWO,0.2681798814061124
2021-01-29,GMV,IEF,3.212964871843569e-18
2021-01-29,GMV,SHY,0.5384387397938769
2021-01-29,GMV,TIP,0.04089908434366246
2021-01-29,GMV,LQD,0.10205822642023066
2021-01-29,GMV,VNQ,0.0
2021-01-29,GMV,GLD,7.837413512837545e-20
2021-01-29,GMV,DBC,0.0
2021-01-29,CtR-only,SPY,0.053372288190897926
2021-01-29,CtR-only,VEA,0.06744517405972589
2021-01-29,CtR-only,VWO,0.25433964717248675
2021-01-29,CtR-only,IEF,0.058972701043082186
2021-01-29,CtR-only,SHY,0.31322839715027373
2021-01-29,CtR-only,TIP,0.03281043305453396
2021-01-29,CtR-only,LQD,0.12888146597011152
2021-01-29,CtR-only,VNQ,0.032117099873573376
2021-01-29,CtR-only,GLD,0.026792186871447174
2021-01-29,CtR-only,DBC,0.032040606613867546
2021-01-29,MDP,SPY,0.05726405514835811
2021-01-29,MDP,VEA,0.06004438919000017
2021-01-29,MDP,VWO,0.33989711944144796
2021-01-29,MDP,IEF,0.0
2021-01-29,MDP,SHY,0.3691039074680917
2021-01-29,MDP,TIP,0.04834136503760418
2021-01-29,MDP,LQD,0.08623355508380576
2021-01-29,MDP,VNQ,0.0
2021-01-29,MDP,GLD,0.03281674882509018
2021-01-29,MDP,DBC,0.006298859805601879
2021-01-29,CtB-only,SPY,0.05852806167452083
2021-01-29,CtB-only,VEA,0.060127429119581195
2021-01-29,CtB-only,VWO,0.33614842475207785
2021-01-29,CtB-only,IEF,0.0
2021-01-29,CtB-only,SHY,0.37306945950945875
2021-01-29,CtB-only,TIP,0.05110484619803662
2021-01-29,CtB-only,LQD,0.08529450230990819
2021-01-29,CtB-only,VNQ,0.0
2021-01-29,CtB-only,GLD,0.029312640356488822
2021-01-29,CtB-only,DBC,0.006414636079927667
2021-01-29,Main,SPY,0.04904568513134345
2021-01-29,Main,VEA,0.06595727822174077
2021-01-29,Main,VWO,0.27952060153868974
2021-01-29,Main,IEF,0.035534536131910696
2021-01-29,Main,SHY,0.356412753253303
2021-01-29,Main,TIP,0.026026333929626156
2021-01-29,Main,LQD,0.11735178675349578
2021-01-29,Main,VNQ,0.024101546319613528
2021-01-29,Main,GLD,0.021760235717149204
2021-01-29,Main,DBC,0.024289243003127653
2021-02-26,EW,SPY,0.1
2021-02-26,EW,VEA,0.1
2021-02-26,EW,VWO,0.1
2021-02-26,EW,IEF,0.1
2021-02-26,EW,SHY,0.1
2021-02-26,EW,TIP,0.1
2021-02-26,EW,LQD,0.1
2021-02-26,EW,VNQ,0.1
2021-02-26,EW,GLD,0.1
2021-02-26,EW,DBC,0.1
2021-02-26,GMV,SPY,0.043416208998318696
2021-02-26,GMV,VEA,0.013915229683001802
2021-02-26,GMV,VWO,0.26175599265664395
2021-02-26,GMV,IEF,6.80996110537294e-19
2021-02-26,GMV,SHY,0.5424564476891044
2021-02-26,GMV,TIP,0.036985690844312996
2021-02-26,GMV,LQD,0.10147043012861806
2021-02-26,GMV,VNQ,0.0
2021-02-26,GMV,GLD,0.0
2021-02-26,GMV,DBC,0.0
2021-02-26,CtR-only,SPY,0.05499988411674736
2021-02-26,CtR-only,VEA,0.06824395529194989
2021-02-26,CtR-only,VWO,0.24795439998703897
2021-02-26,CtR-only,IEF,0.059877194560273024
2021-02-26,CtR-only,SHY,0.3134890406771876
2021-02-26,CtR-only,TIP,0.033493032608271016
2021-02-26,CtR-only,LQD,0.12928944973638526
2021-02-26,CtR-only,VNQ,0.03283545286377878
2021-02-26,CtR-only,GLD,0.02748172483672287
2021-02-26,CtR-only,DBC,0.03233586532164538
2021-02-26,MDP,SPY,0.06229745600728629
2021-02-26,MDP,VEA,0.06400711169340856
2021-02-26,MDP,VWO,0.3290358701728052
2021-02-26,MDP,IEF,0.0
2021-02-26,MDP,SHY,0.3731057623763146
2021-02-26,MDP,TIP,0.042865310806024785
2021-02-26,MDP,LQD,0.08882708109604491
2021-02-26,MDP,VNQ,0.0
2021-02-26,MDP,GLD,0.03815476779476873
2021-02-26,MDP,DBC,0.0017066400533469533
2021-02-26,CtB-only,SPY,0.06366106564395589
2021-02-26,CtB-only,VEA,0.06408797035551285
2021-02-26,CtB-only,VWO,0.32646278743678425
2021-02-26,CtB-only,IEF,0.0
2021-02-26,CtB-only,SHY,0.3763353668125942
2021-02-26,CtB-only,TIP,0.045050303696298026
2021-02-26,CtB-only,LQD,0.08727800778749185
2021-02-26,CtB-only,VNQ,0.0
2021-02-26,CtB-only,GLD,0.03493076443844623
2021-02-26,CtB-only,DBC,0.002193733828916641
2021-02-26,Main,SPY,0.05163332019909081
2021-02-26,Main,VEA,0.0678359752972228
2021-02-26,Main,VWO,0.27173727850498036
2021-02-26,Main,IEF,0.03726439060244283
2021-02-26,Main,SHY,0.3578070665264927
2021-02-26,Main,TIP,0.025653115368119657
2021-02-26,Main,LQD,0.11860196278406712
2021-02-26,Main,VNQ,0.02397899431238148
2021-02-26,Main,GLD,0.021778099249659375
2021-02-26,Main,DBC,0.02370979715554297
2021-03-31,EW,SPY,0.1
2021-03-31,EW,VEA,0.1
2021-03-31,EW,VWO,0.1
2021-03-31,EW,IEF,0.1
2021-03-31,EW,SHY,0.1
2021-03-31,EW,TIP,0.1
2021-03-31,EW,LQD,0.1
2021-03-31,EW,VNQ,0.1
2021-03-31,EW,GLD,0.1
2021-03-31,EW,DBC,0.1
2021-03-31,GMV,SPY,0.012656075156149511
2021-03-31,GMV,VEA,2.6433176073340637e-18
2021-03-31,GMV,VWO,0.20332939383441856
2021-03-31,GMV,IEF,0.0
2021-03-31,GMV,SHY,0.6266241731419205
2021-03-31,GMV,TIP,0.0
2021-03-31,GMV,LQD,0.1279083376254937
2021-03-31,GMV,VNQ,0.024866516491835647
2021-03-31,GMV,GLD,0.004615503750182055
2021-03-31,GMV,DBC,0.0
2021-03-31,CtR-only,SPY,0.04183284472294532
2021-03-31,CtR-only,VEA,0.04640689411875058
2021-03-31,CtR-only,VWO,0.22654154638076557
2021-03-31,CtR-only,IEF,0.06866806567869506
2021-03-31,CtR-only,SHY,0.35630672549837944
2021-03-31,CtR-only,TIP,0.028707498370319717
2021-03-31,CtR-only,LQD,0.14397756365591077
2021-03-31,CtR-only,VNQ,0.03244605790118295
2021-03-31,CtR-only,GLD,0.02645445322199907
2021-03-31,CtR-only,DBC,0.028658350451051647
2021-03-31,MDP,SPY,0.05037522355643338
2021-03-31,MDP,VEA,0.03679768252679028
2021-03-31,MDP,VWO,0.3050161872921611
2021-03-31,MDP,IEF,0.0
2021-03-31,MDP,SHY,0.4367254794098712
2021-03-31,MDP,TIP,0.0
2021-03-31,MDP,LQD,0.09846670068540096
2021-03-31,MDP,VNQ,0.024898535908592718
2021-03-31,MDP,GLD,0.04282216573902063
2021-03-31,MDP,DBC,0.004898024881729784
2021-03-31,CtB-only,SPY,0.05180881800418992
2021-03-31,CtB-only,VEA,0.03733643905160359
2021-03-31,CtB-only,VWO,0.30373473264912265
2021-03-31,CtB-only,IEF,0.0
2021-03-31,CtB-only,SHY,0.4389021286479982
2021-03-31,CtB-only,TIP,0.0
2021-03-31,CtB-only,LQD,0.09697858328584152
2021-03-31,CtB-only,VNQ,0.028197958298283667
2021-03-31,CtB-only,GLD,0.039080550412456186
2021-03-31,CtB-only,DBC,0.003960789650504132
2021-03-31,Main,SPY,0.04194379258782212
2021-03-31,Main,VEA,0.042413423755590186
2021-03-31,Main,VWO,0.24293488134830385
2021-03-31,Main,IEF,0.0427390361236543
2021-03-31,Main,SHY,0.4159762261665268
2021-03-31,Main,TIP,0.019085001593230694
2021-03-31,Main,LQD,0.1306534047612228
2021-03-31,Main,VNQ,0.022826901214569338
2021-03-31,Main,GLD,0.02251958498011374
2021-03-31,Main,DBC,0.018907747468966153
2021-04-30,EW,SPY,0.1
2021-04-30,EW,VEA,0.1
2021-04-30,EW,VWO,0.1
2021-04-30,EW,IEF,0.1
2021-04-30,EW,SHY,0.1
2021-04-30,EW,TIP,0.1
2021-04-30,EW,LQD,0.1
2021-04-30,EW,VNQ,0.1
2021-04-30,EW,GLD,0.1
2021-04-30,EW,DBC,0.1
2021-04-30,GMV,SPY,0.006431451961052486
2021-04-30,GMV,VEA,0.0
2021-04-30,GMV,VWO,0.15400109809352883
2021-04-30,GMV,IEF,1.5932642756387952e-18
