date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2021-01-29,EW,1,0,0,0.0,0,10,success,0.0
2021-01-29,GMV,1,0,33,0.0006465860439558237,0,6,success,0.0023952383604609623
2021-01-29,CtR-only,1,300,2,2.6711943045806043e-09,0,10,success,0.00019424143468484592
2021-01-29,MDP,1,191,2,0.1272610511697368,0,8,success,-2.1989197035255117
2021-01-29,CtB-only,1,300,3,0.02485418634647552,0,8,success,0.0011366018228629261
2021-01-29,Main,1,258,3,3.3452774824092138e-09,0,10,success,0.008781562453449788
2021-02-26,EW,1,0,0,0.0,0,10,success,0.0
2021-02-26,GMV,1,0,34,0.0006242839818454797,0,6,success,0.0024991274972829824
2021-02-26,CtR-only,1,162,2,5.409600772591558e-11,0,10,success,0.00019442170019012942
2021-02-26,MDP,1,152,2,0.11829186731989907,0,8,success,-2.173626757323793
2021-02-26,CtB-only,1,300,2,0.022128783213111937,0,8,success,0.0009826685918932513
2021-02-26,Main,1,100,3,2.300396077203226e-09,0,10,success,0.008857850271927117
2021-03-31,EW,1,0,0,0.0,0,10,success,0.0
2021-03-31,GMV,1,0,40,0.0004217002039668596,0,6,success,0.0007190312070451173
2021-03-31,CtR-only,1,258,2,8.88814288184075e-11,0,10,success,0.0004079368508426662
2021-03-31,MDP,1,242,2,0.2335584941973134,0,8,success,-2.1465519290977726
2021-03-31,CtB-only,1,300,3,0.029420681678970727,0,8,success,0.002016461262079673
2021-03-31,Main,1,300,3,1.8282500821896446e-09,0,10,success,0.008673376737006468
2021-04-30,EW,1,0,0,0.0,0,10,success,0.0
2021-04-30,GMV,1,0,41,0.0004016196217727951,0,6,success,0.0005952674479844083
2021-04-30,CtR-only,1,237,2,7.598831470067281e-11,0,10,success,0.0003099113803021854
2021-04-30,MDP,1,140,2,0.1587209058392059,0,8,success,-2.0562460510349676
2021-04-30,CtB-only,1,300,2,0.023115084016082893,0,8,success,0.0011890910340269837
2021-04-30,Main,1,300,2,5.373001403278768e-09,0,10,success,0.007255304642557747
2021-05-28,EW,1,0,0,0.0,0,10,success,0.0
2021-05-28,GMV,1,0,45,0.00037547648924121256,0,6,success,0.0005967077645169428
2021-05-28,CtR-only,1,194,2,6.518691586264635e-11,0,10,success,0.00022078072484659075
2021-05-28,MDP,1,300,2,0.1324481844194971,0,8,success,-2.035986220498801
2021-05-28,CtB-only,1,300,2,0.018613686908193414,0,8,success,0.0009005510887189208
2021-05-28,Main,1,300,2,5.287550553709769e-10,0,10,success,0.007352937225451163
2021-06-30,EW,1,0,0,0.0,0,10,success,0.0
2021-06-30,GMV,1,0,43,0.0003302671332348942,0,6,success,0.00044293900871857257
2021-06-30,CtR-only,1,282,2,7.404451409404492e-11,0,10,success,0.0003417604495645416
2021-06-30,MDP,1,300,1,0.09480231577171001,0,9,success,-1.9729909834599952
2021-06-30,CtB-only,1,300,2,0.010750301650975609,0,8,success,0.0008971741842004164
2021-06-30,Main,1,300,2,5.765467225250178e-10,0,10,success,0.00625659272386354
2021-07-30,EW,1,0,0,0.0,0,10,success,0.0
2021-07-30,GMV,1,0,44,0.00031237801527867555,0,6,success,0.0004648466909741687
2021-07-30,CtR-only,1,185,2,6.459317410481874e-11,0,10,success,0.00022576990937032228
2021-07-30,MDP,1,300,2,0.12079795230768298,0,9,success,-2.0116996007783174
2021-07-30,CtB-only,1,300,2,0.01244576098255042,0,9,success,0.0009118768751662093
2021-07-30,Main,1,300,1,5.551380915701433e-10,0,10,success,0.006267947536397836
2021-08-31,EW,1,0,0,0.0,0,10,success,0.0
2021-08-31,GMV,1,0,44,0.00026045935713755515,0,6,success,0.0004460290382203631
2021-08-31,CtR-only,1,202,2,6.933620390442317e-11,0,10,success,0.00022824694148486114
2021-08-31,MDP,1,300,1,0.08818474020595682,0,8,success,-2.0016435420592833
2021-08-31,CtB-only,1,300,2,0.010181024824544605,0,8,success,0.000698858215417571
2021-08-31,Main,1,300,1,3.201734303805527e-10,0,10,success,0.006481155736505928
2021-09-30,EW,1,0,0,0.0,0,10,success,0.0
2021-09-30,GMV,1,0,44,0.00024314581994065813,0,6,success,0.0004652819203785814
2021-09-30,CtR-only,1,168,2,7.791301787067184e-11,0,10,success,0.00022641971192216196
2021-09-30,MDP,1,300,1,0.06964920112502901,0,9,success,-2.015334752535779
2021-09-30,CtB-only,1,300,2,0.006209700607873592,0,9,success,0.0005974108000219228
2021-09-30,Main,1,131,2,2.1040719542921635e-07,0,10,success,0.005376053962437189
2021-10-29,EW,1,0,0,0.0,0,10,success,0.0
2021-10-29,GMV,1,0,46,0.00023501166823834338,0,6,success,0.00046996070679387506
2021-10-29,CtR-only,1,151,2,7.549200928972631e-11,0,10,success,0.0002192123145876769
2021-10-29,MDP,1,300,1,0.04067842066154034,0,9,success,-2.0034247487590653
2021-10-29,CtB-only,1,300,2,0.003944592612666722,0,9,success,0.00046349363665540595
2021-10-29,Main,1,300,2,3.058882783070958e-10,0,10,success,0.004098031916406611
2021-11-30,EW,1,0,0,0.0,0,10,success,0.0
2021-11-30,GMV,1,0,47,0.00018049554040108477,0,6,success,0.0005348716226332063
2021-11-30,CtR-only,1,214,2,6.157754431736764e-11,0,10,success,0.00022107845948909327
2021-11-30,MDP,1,300,1,0.012460197740260533,0,9,success,-2.021000002793581
2021-11-30,CtB-only,1,300,2,0.00148590449259206,0,9,success,0.00038863357569150943
2021-11-30,Main,1,300,1,5.427138085945579e-10,0,10,success,0.004121087304522403
2021-12-31,EW,1,0,0,0.0,0,10,success,0.0
2021-12-31,GMV,1,0,50,0.0001830466349712909,0,7,success,0.0005183752520023723
2021-12-31,CtR-only,1,207,2,5.337291287244574e-11,0,10,success,0.0002151229245557218
2021-12-31,MDP,1,300,1,7.160723346098896e-10,0,10,success,-2.022306952104632
2021-12-31,CtB-only,1,300,3,8.806209020786896e-11,0,10,success,0.0003917244355729886
2021-12-31,Main,1,154,2,3.6080165842301256e-10,0,10,success,0.0044681153252658316
2022-01-31,EW,1,0,0,0.0,0,10,success,0.0
2022-01-31,GMV,1,0,44,0.00019283489243512443,0,6,success,0.0005464632530021015
2022-01-31,CtR-only,1,105,2,5.820840295278407e-11,0,10,success,0.0002107318856117345
2022-01-31,MDP,1,300,2,0.0032709113047720974,0,9,success,-1.9983731565840204
2022-01-31,CtB-only,1,300,3,6.719195901869183e-11,0,10,success,0.00040945040668480227
2022-01-31,Main,1,300,1,3.9979780682106857e-10,0,10,success,0.005121771850665168
2022-02-28,EW,1,0,0,0.0,0,10,success,0.0
2022-02-28,GMV,1,0,47,0.0002441362017182656,0,6,success,0.0006114111714231841
2022-02-28,CtR-only,1,240,2,5.012502176420454e-11,0,10,success,0.00021209500121247647
2022-02-28,MDP,1,207,1,0.02398149320607483,0,9,success,-1.9730474563336837
2022-02-28,CtB-only,1,300,2,0.002241520126960053,0,9,success,0.0005139673560240476
2022-02-28,Main,1,300,1,1.5057173998423515e-10,0,10,success,0.0033449423389823717
2022-03-31,EW,1,0,0,0.0,0,10,success,0.0
2022-03-31,GMV,1,0,47,0.0001870478770517731,0,7,success,0.0010361191530426283
2022-03-31,CtR-only,1,215,2,3.8573481726382854e-11,0,10,success,0.0003697561259029744
2022-03-31,MDP,1,300,1,6.435464048854839e-10,0,10,success,-2.1123057375810683
2022-03-31,CtB-only,1,300,2,2.101904906615467e-07,0,10,success,0.0010947293563083839
2022-03-31,Main,1,296,2,9.187975955583274e-10,0,10,success,0.0015016647602153653
2022-04-29,EW,1,0,0,0.0,0,10,success,0.0
2022-04-29,GMV,1,0,43,0.00019183434489325284,0,6,success,0.0010775308593514413
2022-04-29,CtR-only,1,161,2,4.2029080085639173e-11,0,10,success,0.00016851101550605958
2022-04-29,MDP,1,300,1,0.03421608889553341,0,9,success,-2.0640979726338418
