date,strategy,asset,ctb
2016-01-29,EW,SPY,0.617306178172813
2016-01-29,EW,VEA,0.306066921893152
2016-01-29,EW,VWO,0.04996986928446415
2016-01-29,EW,IEF,0.23432597710626465
2016-01-29,EW,SHY,0.07965676734079852
2016-01-29,EW,TIP,0.8138977848077295
2016-01-29,EW,LQD,0.23131831635918476
2016-01-29,EW,VNQ,0.8422006831969299
2016-01-29,EW,GLD,0.7378839122122882
2016-01-29,EW,DBC,0.8439950940234751
2016-01-29,GMV,SPY,0.12843673438891484
2016-01-29,GMV,VEA,0.21013225543250993
2016-01-29,GMV,VWO,0.35599701261350797
2016-01-29,GMV,IEF,0.3712418632811249
2016-01-29,GMV,SHY,0.9504722540289956
2016-01-29,GMV,TIP,0.14611636315569634
2016-01-29,GMV,LQD,0.4020610655955872
2016-01-29,GMV,VNQ,0.14341463236049282
2016-01-29,GMV,GLD,0.2222424034495487
2016-01-29,GMV,DBC,0.14845382035344248
2016-01-29,CtR-only,SPY,0.4839560672310577
2016-01-29,CtR-only,VEA,0.4689946201349963
2016-01-29,CtR-only,VWO,0.45442298514641327
2016-01-29,CtR-only,IEF,0.5703538305778257
2016-01-29,CtR-only,SHY,0.3981175396327142
2016-01-29,CtR-only,TIP,0.5331681665953416
2016-01-29,CtR-only,LQD,0.5672271452062405
2016-01-29,CtR-only,VNQ,0.5659695064278544
2016-01-29,CtR-only,GLD,0.6186578946919362
2016-01-29,CtR-only,DBC,0.5778381641251747
2016-01-29,MDP,SPY,0.49412858210838656
2016-01-29,MDP,VEA,0.4941431736845101
2016-01-29,MDP,VWO,0.49410382048395096
2016-01-29,MDP,IEF,0.5090853250669216
2016-01-29,MDP,SHY,0.49386022423441567
2016-01-29,MDP,TIP,0.49412658729290015
2016-01-29,MDP,LQD,0.5008835346009233
2016-01-29,MDP,VNQ,0.4941370434704802
2016-01-29,MDP,GLD,0.5186607811309234
2016-01-29,MDP,DBC,0.49412552696514
2016-01-29,CtB-only,SPY,0.5014609403112611
2016-01-29,CtB-only,VEA,0.49706646229316176
2016-01-29,CtB-only,VWO,0.4896149427553923
2016-01-29,CtB-only,IEF,0.5054375318873819
2016-01-29,CtB-only,SHY,0.4982077037189242
2016-01-29,CtB-only,TIP,0.48822870051524253
2016-01-29,CtB-only,LQD,0.49960631101594905
2016-01-29,CtB-only,VNQ,0.4970559940931694
2016-01-29,CtB-only,GLD,0.5125217423907815
2016-01-29,CtB-only,DBC,0.4981338455535995
2016-01-29,Main,SPY,0.4835889732300202
2016-01-29,Main,VEA,0.47159582456657767
2016-01-29,Main,VWO,0.4568180138594705
2016-01-29,Main,IEF,0.5714891252369607
2016-01-29,Main,SHY,0.40256167279224536
2016-01-29,Main,TIP,0.5289500458044545
2016-01-29,Main,LQD,0.5688316197211576
2016-01-29,Main,VNQ,0.5621481091718645
2016-01-29,Main,GLD,0.6154076505261936
2016-01-29,Main,DBC,0.5742387038122897
2016-02-29,EW,SPY,0.6463477237950098
2016-02-29,EW,VEA,0.25385132416061884
2016-02-29,EW,VWO,0.0021123394355235686
2016-02-29,EW,IEF,0.2107338413299862
2016-02-29,EW,SHY,0.061630565309948836
2016-02-29,EW,TIP,0.8192816522325678
2016-02-29,EW,LQD,0.2239297908435615
2016-02-29,EW,VNQ,0.8437291795857107
2016-02-29,EW,GLD,0.7459822940424343
2016-02-29,EW,DBC,0.8508110106614792
2016-02-29,GMV,SPY,0.12528559724107888
2016-02-29,GMV,VEA,0.18385420114215395
2016-02-29,GMV,VWO,0.35245464428938594
2016-02-29,GMV,IEF,0.37169697427232834
2016-02-29,GMV,SHY,0.948907206919335
2016-02-29,GMV,TIP,0.13835182506212532
2016-02-29,GMV,LQD,0.40289686502299943
2016-02-29,GMV,VNQ,0.12906151454405676
2016-02-29,GMV,GLD,0.21249400994463907
2016-02-29,GMV,DBC,0.13784340056974703
2016-02-29,CtR-only,SPY,0.5043322392335798
2016-02-29,CtR-only,VEA,0.43420659393923605
2016-02-29,CtR-only,VWO,0.4329201639239519
2016-02-29,CtR-only,IEF,0.5653803140602658
2016-02-29,CtR-only,SHY,0.3926473798058836
2016-02-29,CtR-only,TIP,0.5248351162152606
2016-02-29,CtR-only,LQD,0.5716536843078281
2016-02-29,CtR-only,VNQ,0.5483187835624241
2016-02-29,CtR-only,GLD,0.6129520930167317
2016-02-29,CtR-only,DBC,0.5695484177839587
2016-02-29,MDP,SPY,0.48290557136927814
2016-02-29,MDP,VEA,0.4829121840438186
2016-02-29,MDP,VWO,0.4828741782389784
2016-02-29,MDP,IEF,0.5050513882021378
2016-02-29,MDP,SHY,0.48264903029257894
2016-02-29,MDP,TIP,0.4829014177659509
2016-02-29,MDP,LQD,0.5001558211068787
2016-02-29,MDP,VNQ,0.4829084558997374
2016-02-29,MDP,GLD,0.5152685200208066
2016-02-29,MDP,DBC,0.4829006693533367
2016-02-29,CtB-only,SPY,0.49233815751187593
2016-02-29,CtB-only,VEA,0.4880534597969344
2016-02-29,CtB-only,VWO,0.47437701272510713
2016-02-29,CtB-only,IEF,0.4982665795235983
2016-02-29,CtB-only,SHY,0.4899347846777323
2016-02-29,CtB-only,TIP,0.47666775922974575
2016-02-29,CtB-only,LQD,0.4964786667680153
2016-02-29,CtB-only,VNQ,0.4867003927293966
2016-02-29,CtB-only,GLD,0.5078326618697494
2016-02-29,CtB-only,DBC,0.48917060255281075
2016-02-29,Main,SPY,0.502432245099376
2016-02-29,Main,VEA,0.44246727781539874
2016-02-29,Main,VWO,0.43918200033195953
2016-02-29,Main,IEF,0.5681300925954579
2016-02-29,Main,SHY,0.4032820058409089
2016-02-29,Main,TIP,0.5140551807830427
2016-02-29,Main,LQD,0.5750544661753014
2016-02-29,Main,VNQ,0.5384120597785146
2016-02-29,Main,GLD,0.6045024095933726
2016-02-29,Main,DBC,0.5603044086227515
2016-03-31,EW,SPY,0.6432624116623636
2016-03-31,EW,VEA,0.22864696201595222
2016-03-31,EW,VWO,-0.10215735513534589
2016-03-31,EW,IEF,0.13118647166420686
2016-03-31,EW,SHY,0.029199002332200925
