date,strategy,asset,ctr
2016-01-29,EW,SPY,0.011280165808947272
2016-01-29,EW,VEA,0.004209859967104169
2016-01-29,EW,VWO,0.00033551893247563423
2016-01-29,EW,IEF,0.0014813625826376256
2016-01-29,EW,SHY,0.0001966896606447903
2016-01-29,EW,TIP,0.013072847703761398
2016-01-29,EW,LQD,0.001350289350974939
2016-01-29,EW,VNQ,0.014638209513313719
2016-01-29,EW,GLD,0.013135239103184133
2016-01-29,EW,DBC,0.018817180585149574
2016-01-29,GMV,SPY,0.00011028164597016725
2016-01-29,GMV,VEA,0.0
2016-01-29,GMV,VWO,0.0
2016-01-29,GMV,IEF,0.000431647559134139
2016-01-29,GMV,SHY,0.020461718777217235
2016-01-29,GMV,TIP,0.0008142365318471516
2016-01-29,GMV,LQD,0.0016513588948759202
2016-01-29,GMV,VNQ,0.0
2016-01-29,GMV,GLD,0.0
2016-01-29,GMV,DBC,1.627029220353066e-19
2016-01-29,CtR-only,SPY,0.0038913018467216245
2016-01-29,CtR-only,VEA,0.0038935939684664215
2016-01-29,CtR-only,VWO,0.003895198052033868
2016-01-29,CtR-only,IEF,0.00389477877872198
2016-01-29,CtR-only,SHY,0.0038517562023165546
2016-01-29,CtR-only,TIP,0.00389111067785941
2016-01-29,CtR-only,LQD,0.003894682943483535
2016-01-29,CtR-only,VNQ,0.003890959701659929
2016-01-29,CtR-only,GLD,0.0038907043134428464
2016-01-29,CtR-only,DBC,0.003889942184520088
2016-01-29,MDP,SPY,0.004631698476226006
2016-01-29,MDP,VEA,0.004116875580070556
2016-01-29,MDP,VWO,0.009143076357059588
2016-01-29,MDP,IEF,0.0
2016-01-29,MDP,SHY,0.005931733717101702
2016-01-29,MDP,TIP,0.007482018813215883
2016-01-29,MDP,LQD,0.0
2016-01-29,MDP,VNQ,0.001839915821669035
2016-01-29,MDP,GLD,0.0
2016-01-29,MDP,DBC,0.0011478508501925363
2016-01-29,CtB-only,SPY,0.004782942043010956
2016-01-29,CtB-only,VEA,0.004143824226310239
2016-01-29,CtB-only,VWO,0.008914840270001513
2016-01-29,CtB-only,IEF,1.7609399283098838e-06
2016-01-29,CtB-only,SHY,0.006054114096310476
2016-01-29,CtB-only,TIP,0.006793976506735723
2016-01-29,CtB-only,LQD,1.4048841058713686e-06
2016-01-29,CtB-only,VNQ,0.0021564847947147738
2016-01-29,CtB-only,GLD,0.0
