date,strategy,asset,weight
2016-01-29,EW,SPY,0.1
2016-01-29,EW,VEA,0.1
2016-01-29,EW,VWO,0.1
2016-01-29,EW,IEF,0.1
2016-01-29,EW,SHY,0.1
2016-01-29,EW,TIP,0.1
2016-01-29,EW,LQD,0.1
2016-01-29,EW,VNQ,0.1
2016-01-29,EW,GLD,0.1
2016-01-29,EW,DBC,0.1
2016-01-29,GMV,SPY,0.004698931615880533
2016-01-29,GMV,VEA,0.0
2016-01-29,GMV,VWO,0.0
2016-01-29,GMV,IEF,0.018392103897047766
2016-01-29,GMV,SHY,0.8718541008604426
2016-01-29,GMV,TIP,0.0346937619561432
2016-01-29,GMV,LQD,0.07036110167048593
2016-01-29,GMV,VNQ,0.0
2016-01-29,GMV,GLD,0.0
2016-01-29,GMV,DBC,4.915744972239814e-18
2016-01-29,CtR-only,SPY,0.04400217271464811
2016-01-29,CtR-only,VEA,0.06035754200675611
2016-01-29,CtR-only,VWO,0.12766164495094684
2016-01-29,CtR-only,IEF,0.10801833985384703
2016-01-29,CtR-only,SHY,0.3918218274313684
2016-01-29,CtR-only,TIP,0.045436935974339315
2016-01-29,CtR-only,LQD,0.1176246332661248
2016-01-29,CtR-only,VNQ,0.039554083930840665
2016-01-29,CtR-only,GLD,0.03532870563051315
2016-01-29,CtR-only,DBC,0.030194114240615744
2016-01-29,MDP,SPY,0.0512962294635151
2016-01-29,MDP,VEA,0.06057085269275379
2016-01-29,MDP,VWO,0.27559118160150836
2016-01-29,MDP,IEF,0.0
2016-01-29,MDP,SHY,0.4864281995625511
2016-01-29,MDP,TIP,0.09427146108493702
2016-01-29,MDP,LQD,0.0
2016-01-29,MDP,VNQ,0.021422895637446593
2016-01-29,MDP,GLD,0.0
2016-01-29,MDP,DBC,0.010419179957288026
2016-01-29,CtB-only,SPY,0.052196712139374775
2016-01-29,CtB-only,VEA,0.060608789352520884
2016-01-29,CtB-only,VWO,0.2711752720330823
2016-01-29,CtB-only,IEF,5.5110724323823555e-05
2016-01-29,CtB-only,SHY,0.4921316649139633
2016-01-29,CtB-only,TIP,0.08663640037432536
2016-01-29,CtB-only,LQD,4.8172120432944554e-05
2016-01-29,CtB-only,VNQ,0.02496138710614883
2016-01-29,CtB-only,GLD,0.0
2016-01-29,CtB-only,DBC,0.012186491235827619
2016-01-29,Main,SPY,0.043987475897924455
2016-01-29,Main,VEA,0.060494266462321894
2016-01-29,Main,VWO,0.12732276321629274
2016-01-29,Main,IEF,0.10708904889852977
2016-01-29,Main,SHY,0.3957748602759998
2016-01-29,Main,TIP,0.04486209436203948
2016-01-29,Main,LQD,0.11674824286767575
2016-01-29,Main,VNQ,0.03909238085833269
2016-01-29,Main,GLD,0.03478693308766468
2016-01-29,Main,DBC,0.02984193407321872
2016-02-29,EW,SPY,0.1
2016-02-29,EW,VEA,0.1
2016-02-29,EW,VWO,0.1
2016-02-29,EW,IEF,0.1
2016-02-29,EW,SHY,0.1
2016-02-29,EW,TIP,0.1
2016-02-29,EW,LQD,0.1
2016-02-29,EW,VNQ,0.1
2016-02-29,EW,GLD,0.1
2016-02-29,EW,DBC,0.1
2016-02-29,GMV,SPY,0.0016696451483303302
2016-02-29,GMV,VEA,0.0
2016-02-29,GMV,VWO,8.523553350717238e-18
2016-02-29,GMV,IEF,0.022816097814992334
2016-02-29,GMV,SHY,0.8708761664272815
2016-02-29,GMV,TIP,0.0328952336698459
2016-02-29,GMV,LQD,0.07002482386639532
2016-02-29,GMV,VNQ,0.001718033073154457
2016-02-29,GMV,GLD,0.0
2016-02-29,GMV,DBC,0.0
2016-02-29,CtR-only,SPY,0.041029065193502835
2016-02-29,CtR-only,VEA,0.05913871966522597
2016-02-29,CtR-only,VWO,0.13375077535051638
2016-02-29,CtR-only,IEF,0.10871241299664555
2016-02-29,CtR-only,SHY,0.39453372387527375
2016-02-29,CtR-only,TIP,0.04353207976415253
2016-02-29,CtR-only,LQD,0.11662192104993822
2016-02-29,CtR-only,VNQ,0.03885942506996013
2016-02-29,CtR-only,GLD,0.034637047153793905
2016-02-29,CtR-only,DBC,0.02918482988099064
2016-02-29,MDP,SPY,0.04165850197617654
2016-02-29,MDP,VEA,0.06629490941363339
2016-02-29,MDP,VWO,0.2855363806972685
2016-02-29,MDP,IEF,0.0
2016-02-29,MDP,SHY,0.475841769282428
2016-02-29,MDP,TIP,0.08933397466245901
2016-02-29,MDP,LQD,0.0
2016-02-29,MDP,VNQ,0.03422215215483112
2016-02-29,MDP,GLD,0.0
2016-02-29,MDP,DBC,0.0071123118132034365
2016-02-29,CtB-only,SPY,0.042340392579841346
2016-02-29,CtB-only,VEA,0.06675467535205133
2016-02-29,CtB-only,VWO,0.27724419762931396
2016-02-29,CtB-only,IEF,0.0
2016-02-29,CtB-only,SHY,0.48594910124938906
2016-02-29,CtB-only,TIP,0.08044067383389594
2016-02-29,CtB-only,LQD,0.0
2016-02-29,CtB-only,VNQ,0.037477631437279786
2016-02-29,CtB-only,GLD,0.0
2016-02-29,CtB-only,DBC,0.009793327918228466
2016-02-29,Main,SPY,0.04077382745898915
2016-02-29,Main,VEA,0.05991064652598527
2016-02-29,Main,VWO,0.13320599725896437
2016-02-29,Main,IEF,0.10641077596481585
2016-02-29,Main,SHY,0.40350815563225745
2016-02-29,Main,TIP,0.04231215877230247
2016-02-29,Main,LQD,0.11416630190187586
2016-02-29,Main,VNQ,0.03787556622877778
2016-02-29,Main,GLD,0.03340424006235968
2016-02-29,Main,DBC,0.028432330193672115
2016-03-31,EW,SPY,0.1
2016-03-31,EW,VEA,0.1
2016-03-31,EW,VWO,0.1
2016-03-31,EW,IEF,0.1
2016-03-31,EW,SHY,0.1
2016-03-31,EW,TIP,0.1
2016-03-31,EW,LQD,0.1
2016-03-31,EW,VNQ,0.1
2016-03-31,EW,GLD,0.1
2016-03-31,EW,DBC,0.1
2016-03-31,GMV,SPY,0.006437892159104406
2016-03-31,GMV,VEA,0.0
2016-03-31,GMV,VWO,0.016348732996057373
2016-03-31,GMV,IEF,0.04080959287338576
2016-03-31,GMV,SHY,0.8475241589731585
2016-03-31,GMV,TIP,0.030644682777672884
2016-03-31,GMV,LQD,0.051065618643556174
2016-03-31,GMV,VNQ,0.007169321577064958
2016-03-31,GMV,GLD,6.972186891851591e-19
2016-03-31,GMV,DBC,0.0
2016-03-31,CtR-only,SPY,0.04124114931039274
2016-03-31,CtR-only,VEA,0.05614367097028938
2016-03-31,CtR-only,VWO,0.14489480884693612
2016-03-31,CtR-only,IEF,0.11356401688334068
2016-03-31,CtR-only,SHY,0.38479745183286
2016-03-31,CtR-only,TIP,0.04283713308910427
2016-03-31,CtR-only,LQD,0.11575246376309238
2016-03-31,CtR-only,VNQ,0.03853619309783322
2016-03-31,CtR-only,GLD,0.034165466202728714
2016-03-31,CtR-only,DBC,0.02806764600342253
2016-03-31,MDP,SPY,0.04423400058931354
2016-03-31,MDP,VEA,0.06029569906856548
2016-03-31,MDP,VWO,0.3230702851996275
2016-03-31,MDP,IEF,0.0
2016-03-31,MDP,SHY,0.4362069431351186
2016-03-31,MDP,TIP,0.08241289888302666
2016-03-31,MDP,LQD,0.0
2016-03-31,MDP,VNQ,0.04982032543423933
2016-03-31,MDP,GLD,0.0
2016-03-31,MDP,DBC,0.003959847690108953
2016-03-31,CtB-only,SPY,0.04413014341081336
2016-03-31,CtB-only,VEA,0.06137433811207449
2016-03-31,CtB-only,VWO,0.31053486671464975
