date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2016-01-29,EW,1,0,0,0.0,0,10,success,0.0
2016-01-29,GMV,1,0,47,0.0003468458639751786,0,5,success,0.0005508053861929841
2016-01-29,CtR-only,1,250,4,5.235736354050377e-09,0,10,success,0.0002071981068359971
2016-01-29,MDP,1,250,2,0.08883301514121056,0,7,success,-2.023646842029807
2016-01-29,CtB-only,1,250,13,0.009990676565762118,0,9,success,0.0005518991724370113
2016-01-29,Main,1,250,5,6.769197554082262e-07,0,10,success,0.00021684480263425973
2016-02-29,EW,1,0,0,0.0,0,10,success,0.0
2016-02-29,GMV,1,0,49,0.00031177614966412847,0,6,success,0.0005264579977202265
2016-02-29,CtR-only,1,214,2,1.616580775004544e-10,0,10,success,0.00021149331074837702
2016-02-29,MDP,1,250,2,0.1312155600957139,0,7,success,-2.070690543849905
2016-02-29,CtB-only,1,250,3,0.014303063196778836,0,7,success,0.0007709319656819123
2016-02-29,Main,1,250,3,1.3540862503120429e-08,0,10,success,0.00027300580241215847
2016-03-31,EW,1,0,0,0.0,0,10,success,0.0
2016-03-31,GMV,1,0,52,0.0003315605034969262,0,7,success,0.0005050557670422486
2016-03-31,CtR-only,1,250,2,7.949880426799671e-10,0,10,success,0.00021068857971395417
2016-03-31,MDP,1,250,2,0.14345823490778137,0,7,success,-2.191117777368507
2016-03-31,CtB-only,1,250,6,0.01575689569842234,0,8,success,0.0010965994034270758
2016-03-31,Main,1,250,3,1.4401256075934738e-07,0,10,success,0.0002901295580999798
2016-04-29,EW,1,0,0,0.0,0,10,success,0.0
2016-04-29,GMV,1,0,54,0.00032982619670281584,0,7,success,0.0004884282250470604
2016-04-29,CtR-only,1,250,2,1.4187545528863343e-10,0,10,success,0.00020571720498202743
2016-04-29,MDP,1,250,2,0.16595495047253414,0,6,success,-2.2251473854025448
2016-04-29,CtB-only,1,250,3,0.017325153122063394,0,6,success,0.0010638394737583524
2016-04-29,Main,1,77,3,1.0413008107090142e-07,0,10,success,0.0002988621221705663
2016-05-31,EW,1,0,0,0.0,0,10,success,0.0
2016-05-31,GMV,1,0,55,0.0003776346980775854,0,7,success,0.00047358856730265016
2016-05-31,CtR-only,1,250,2,2.6505958406833385e-09,0,10,success,0.00020547981025841952
2016-05-31,MDP,1,250,2,0.21668725849150064,0,6,success,-2.29002608110803
2016-05-31,CtB-only,1,250,3,0.018672326732029145,0,6,success,0.0011770167553825815
2016-05-31,Main,1,250,3,6.433608472620399e-07,0,10,success,0.00026074693740678605
2016-06-30,EW,1,0,0,0.0,0,10,success,0.0
2016-06-30,GMV,1,0,54,0.0005006840076712443,0,7,success,0.00058344484397367
2016-06-30,CtR-only,1,250,2,9.352499976884013e-09,0,10,success,0.00021249488053102546
2016-06-30,MDP,1,250,2,0.298237640386106,0,6,success,-2.3548212384375344
2016-06-30,CtB-only,1,250,3,0.023597644177382863,0,6,success,0.0014222726831853037
2016-06-30,Main,1,250,4,5.3514940784247206e-08,0,10,success,0.0005358692548635967
2016-07-29,EW,1,0,0,0.0,0,10,success,0.0
2016-07-29,GMV,1,0,54,0.0005848283774826474,0,7,success,0.0005990296387316489
2016-07-29,CtR-only,1,250,2,9.530575153403858e-11,0,10,success,0.0001888155370960448
2016-07-29,MDP,1,250,2,0.2896128122414451,0,6,success,-2.298422613487893
2016-07-29,CtB-only,1,250,3,0.024751630702038365,0,6,success,0.001454932172422018
2016-07-29,Main,1,250,3,6.300798080263238e-08,0,10,success,0.0005402475826498924
2016-08-31,EW,1,0,0,0.0,0,10,success,0.0
2016-08-31,GMV,1,0,52,0.0005134565443133434,0,7,success,0.0005781152101828323
2016-08-31,CtR-only,1,250,2,9.351878681490602e-11,0,10,success,0.00018643620300803798
2016-08-31,MDP,1,216,2,0.19033993777718097,0,6,success,-2.2623268348765753
2016-08-31,CtB-only,1,250,3,0.016038951305100246,0,7,success,0.0010231735741570397
2016-08-31,Main,1,250,3,4.995821713421572e-08,0,10,success,0.00035028960180297165
2016-09-30,EW,1,0,0,0.0,0,10,success,0.0
2016-09-30,GMV,1,0,52,0.0005648437913928042,0,6,success,0.0006030356469437712
2016-09-30,CtR-only,1,250,2,1.4668832115304278e-10,0,10,success,0.00018834127040526737
2016-09-30,MDP,1,250,2,0.2377435704946235,0,6,success,-2.1811336392629688
2016-09-30,CtB-only,1,250,3,0.022663096427585593,0,6,success,0.0015004572188652573
2016-09-30,Main,1,250,2,2.496901732796087e-07,0,10,success,0.0009083847520497026
2016-10-31,EW,1,0,0,0.0,0,10,success,0.0
2016-10-31,GMV,1,0,55,0.0006461025473726561,0,7,success,0.0006106270495186107
2016-10-31,CtR-only,1,198,2,1.3600873291261043e-10,0,10,success,0.00018601955330598008
2016-10-31,MDP,1,250,2,0.2325793329320498,0,6,success,-2.170669506960667
2016-10-31,CtB-only,1,250,3,0.023649338496637858,0,6,success,0.0011792647716713342
2016-10-31,Main,1,250,2,5.605118414555192e-08,0,10,success,0.0010446869012002665
2016-11-30,EW,1,0,0,0.0,0,10,success,0.0
2016-11-30,GMV,1,0,47,0.0006658174282809606,0,6,success,0.0006383519042658054
2016-11-30,CtR-only,1,218,2,1.0816981017616592e-10,0,10,success,0.00018645863630552373
2016-11-30,MDP,1,250,2,0.30562736603233265,0,7,success,-2.192005355675234
2016-11-30,CtB-only,1,250,3,0.02838928504265267,0,7,success,0.0024577407178747327
2016-11-30,Main,1,250,2,7.273665815035667e-07,0,10,success,0.0012814228712648601
2016-12-30,EW,1,0,0,0.0,0,10,success,0.0
2016-12-30,GMV,1,0,50,0.0008547998102801442,0,6,success,0.0006545074196413649
2016-12-30,CtR-only,1,227,2,1.1685338520549984e-10,0,10,success,0.00018195121893302497
2016-12-30,MDP,1,250,2,0.378662901253661,0,7,success,-2.1782592093404705
2016-12-30,CtB-only,1,250,3,0.031050102335519348,0,7,success,0.003766722713070808
2016-12-30,Main,1,250,2,1.1842246320879426e-07,0,10,success,0.0018726745036469067
2017-01-31,EW,1,0,0,0.0,0,10,success,0.0
2017-01-31,GMV,1,0,48,0.0010067420692443279,0,6,success,0.0007026686219501137
2017-01-31,CtR-only,1,238,2,7.956883230078788e-11,0,10,success,0.0001791703952994872
2017-01-31,MDP,1,250,1,0.3351388821522177,0,8,success,-2.1610907741129575
2017-01-31,CtB-only,1,250,3,0.028692595805955595,0,9,success,0.0037334626546126617
2017-01-31,Main,1,250,2,4.798000959424585e-09,0,10,success,0.0017249039156745478
2017-02-28,EW,1,0,0,0.0,0,10,success,0.0
2017-02-28,GMV,1,0,45,0.0010278045096189434,0,6,success,0.0007285726393784625
2017-02-28,CtR-only,1,219,2,6.274003194933254e-11,0,10,success,0.00016658310826539474
2017-02-28,MDP,1,250,1,0.3366531281893496,0,9,success,-2.1207132044234265
2017-02-28,CtB-only,1,250,3,0.029825026039233666,0,9,success,0.0038641327891350678
2017-02-28,Main,1,250,2,1.7412172626579957e-09,0,10,success,0.0015914257893897895
2017-03-31,EW,1,0,0,0.0,0,10,success,0.0
2017-03-31,GMV,1,0,46,0.0009859999918084737,0,6,success,0.0007461362330930844
2017-03-31,CtR-only,1,190,2,5.506672133230341e-11,0,10,success,0.00016050028796876442
2017-03-31,MDP,1,250,2,0.31231358369733037,0,8,success,-2.0865709005671698
2017-03-31,CtB-only,1,250,3,0.03105978770479659,0,9,success,0.00421754853331027
2017-03-31,Main,1,250,1,1.2633069191862044e-09,0,10,success,0.0016631195379330356
2017-04-28,EW,1,0,0,0.0,0,10,success,0.0
2017-04-28,GMV,1,0,42,0.000981496643671088,0,6,success,0.0007777910467261395
2017-04-28,CtR-only,1,202,2,4.897685384807387e-11,0,10,success,0.00015554134511960307
2017-04-28,MDP,1,143,1,0.3035294040480233,0,9,success,-2.08177555624718
2017-04-28,CtB-only,1,250,2,0.030815057344526005,0,9,success,0.003979096536136944
2017-04-28,Main,1,250,1,1.0144963305141016e-09,0,10,success,0.0015430375282018739
2017-05-31,EW,1,0,0,0.0,0,10,success,0.0
2017-05-31,GMV,1,0,43,0.000989657108993705,0,6,success,0.000783566580234554
