strategy,asset,date,weight
CtB-only,DBC,2020-11-30,0.016174247914729073
CtB-only,GLD,2020-11-30,0.024710937247523553
CtB-only,IEF,2020-11-30,0.0
CtB-only,LQD,2020-11-30,0.08542535499572415
CtB-only,SHY,2020-11-30,0.37296271220563193
CtB-only,SPY,2020-11-30,0.05779653815003879
CtB-only,TIP,2020-11-30,0.051173748227936404
CtB-only,VEA,2020-11-30,0.05984502968125499
CtB-only,VNQ,2020-11-30,0.0
CtB-only,VWO,2020-11-30,0.331911431577161
CtR-only,DBC,2020-11-30,0.033125077023472525
CtR-only,GLD,2020-11-30,0.026947447337960985
CtR-only,IEF,2020-11-30,0.05926072737476458
CtR-only,LQD,2020-11-30,0.12902047435036731
CtR-only,SHY,2020-11-30,0.31195972068404876
CtR-only,SPY,2020-11-30,0.054277717425439985
CtR-only,TIP,2020-11-30,0.03333529382841293
CtR-only,VEA,2020-11-30,0.07009920733125201
CtR-only,VNQ,2020-11-30,0.03263275677310176
CtR-only,VWO,2020-11-30,0.24934157787117917
EW,DBC,2020-11-30,0.1
EW,GLD,2020-11-30,0.1
EW,IEF,2020-11-30,0.1
EW,LQD,2020-11-30,0.1
EW,SHY,2020-11-30,0.1
EW,SPY,2020-11-30,0.1
EW,TIP,2020-11-30,0.1
EW,VEA,2020-11-30,0.1
EW,VNQ,2020-11-30,0.1
EW,VWO,2020-11-30,0.1
GMV,DBC,2020-11-30,0.0
GMV,GLD,2020-11-30,0.0
GMV,IEF,2020-11-30,3.775936443118689e-18
GMV,LQD,2020-11-30,0.1019983552487748
GMV,SHY,2020-11-30,0.5412512500850348
GMV,SPY,2020-11-30,0.04118162303342793
GMV,TIP,2020-11-30,0.041692902801782
GMV,VEA,2020-11-30,0.011767925343492042
GMV,VNQ,2020-11-30,0.0
GMV,VWO,2020-11-30,0.26210794348748845
MDP,DBC,2020-11-30,0.016654189850184874
MDP,GLD,2020-11-30,0.027837929102637163
MDP,IEF,2020-11-30,0.0
MDP,LQD,2020-11-30,0.0865428597178682
MDP,SHY,2020-11-30,0.3689749890351833
MDP,SPY,2020-11-30,0.056056750041284444
MDP,TIP,2020-11-30,0.04878561766405721
MDP,VEA,2020-11-30,0.05964059396829082
MDP,VNQ,2020-11-30,0.0
MDP,VWO,2020-11-30,0.335507070620494
Main,DBC,2020-11-30,0.026977709689603082
Main,GLD,2020-11-30,0.02220151356779476
Main,IEF,2020-11-30,0.04430950141037344
Main,LQD,2020-11-30,0.1222324368104983
Main,SHY,2020-11-30,0.3456791687165909
Main,SPY,2020-11-30,0.049749685867776
Main,TIP,2020-11-30,0.027198561806824763
Main,VEA,2020-11-30,0.06870529949976936
Main,VNQ,2020-11-30,0.026220429851120695
Main,VWO,2020-11-30,0.2667256927796487
