strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.15861359424681196
CtB-only,A2,2026-04-19,0.15861359424691868
CtB-only,A3,2026-04-19,0.15861359424638796
CtB-only,B1,2026-04-19,0.2620796086292685
CtB-only,B2,2026-04-19,0.2620796086306129
CtR-only,A1,2026-04-19,0.17648883125195258
CtR-only,A2,2026-04-19,0.17648883125194434
CtR-only,A3,2026-04-19,0.176488831251971
CtR-only,B1,2026-04-19,0.23526675312194176
CtR-only,B2,2026-04-19,0.23526675312219028
EW,A1,2026-04-19,0.2
EW,A2,2026-04-19,0.2
EW,A3,2026-04-19,0.2
EW,B1,2026-04-19,0.2
EW,B2,2026-04-19,0.2
GMV,A1,2026-04-19,0.14093959731543632
GMV,A2,2026-04-19,0.14093959731543618
GMV,A3,2026-04-19,0.14093959731543623
GMV,B1,2026-04-19,0.2885906040268455
GMV,B2,2026-04-19,0.2885906040268457
MDP,A1,2026-04-19,0.1586171688826399
MDP,A2,2026-04-19,0.1586171688648731
MDP,A3,2026-04-19,0.158617168980335
MDP,B1,2026-04-19,0.2620742465448426
MDP,B2,2026-04-19,0.26207424672730945
Main,A1,2026-04-19,0.1764888312519208
Main,A2,2026-04-19,0.17648883125192194
Main,A3,2026-04-19,0.176488831251941
Main,B1,2026-04-19,0.23526675312223574
Main,B2,2026-04-19,0.23526675312198048
