strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.3333333333333333
CtB-only,A2,2026-04-19,0.3333333333333333
CtB-only,A3,2026-04-19,0.3333333333333333
CtR-only,A1,2026-04-19,0.3333333333333333
CtR-only,A2,2026-04-19,0.3333333333333333
CtR-only,A3,2026-04-19,0.3333333333333333
EW,A1,2026-04-19,0.3333333333333333
EW,A2,2026-04-19,0.3333333333333333
EW,A3,2026-04-19,0.3333333333333333
GMV,A1,2026-04-19,0.3333333333333333
GMV,A2,2026-04-19,0.3333333333333333
GMV,A3,2026-04-19,0.3333333333333333
MDP,A1,2026-04-19,0.3333333333370341
MDP,A2,2026-04-19,0.3333333333370341
MDP,A3,2026-04-19,0.33333333332593185
Main,A1,2026-04-19,0.3333333333333333
Main,A2,2026-04-19,0.3333333333333333
Main,A3,2026-04-19,0.3333333333333333
