date,strategy,asset,ctb
2026-04-19,EW,A1,0.3713906763541038
2026-04-19,EW,A2,0.5570860145311556
2026-04-19,EW,A3,0.7427813527082076
2026-04-19,GMV,A1,0.768221556331912
2026-04-19,GMV,A2,0.5121470476616282
2026-04-19,GMV,A3,0.38411071575582567
2026-04-19,CtR-only,A1,0.577229424010224
2026-04-19,CtR-only,A2,0.5773930045721831
2026-04-19,CtR-only,A3,0.5774283594766815
2026-04-19,MDP,A1,0.5772572780964405
2026-04-19,MDP,A2,0.5773831402841098
2026-04-19,MDP,A3,0.5774103776347883
2026-04-19,CtB-only,A1,0.5771891550513377
2026-04-19,CtB-only,A2,0.5774072377139106
2026-04-19,CtB-only,A3,0.5774543801260099
2026-04-19,Main,A1,0.5772294753172472
2026-04-19,Main,A2,0.5773929670373259
2026-04-19,Main,A3,0.5774283457198902
