date,strategy,asset,ctr
2026-04-19,EW,A1,0.024759378423606912
2026-04-19,EW,A2,0.055708601453115555
2026-04-19,EW,A3,0.09903751369442765
2026-04-19,GMV,A1,0.09067536390295065
2026-04-19,GMV,A2,0.040300058407253966
2026-04-19,GMV,A3,0.022668833609293993
2026-04-19,CtR-only,A1,0.05327383378970332
2026-04-19,CtR-only,A2,0.05330403252217585
2026-04-19,CtR-only,A3,0.05331056054264678
2026-04-19,MDP,A1,0.053278452009833936
2026-04-19,MDP,A2,0.0533016876582103
2026-04-19,MDP,A3,0.053306716662005496
2026-04-19,CtB-only,A1,0.05326715773139983
2026-04-19,CtB-only,A2,0.05330741780238466
2026-04-19,CtB-only,A3,0.05331612272564307
2026-04-19,Main,A1,0.053273842433727535
2026-04-19,Main,A2,0.05330402476492445
2026-04-19,Main,A3,0.05331055717544718
