strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.46143588514463696
CtB-only,A2,2026-04-19,0.30774015472708144
CtB-only,A3,2026-04-19,0.23082396012828157
CtR-only,A1,2026-04-19,0.46146152269569435
CtR-only,A2,2026-04-19,0.307728197259515
CtR-only,A3,2026-04-19,0.23081028004479076
EW,A1,2026-04-19,0.3333333333333333
EW,A2,2026-04-19,0.3333333333333333
EW,A3,2026-04-19,0.3333333333333333
GMV,A1,2026-04-19,0.5901641470196791
GMV,A2,2026-04-19,0.2622948401977962
GMV,A3,2026-04-19,0.14754101278252468
MDP,A1,2026-04-19,0.46147925744240575
MDP,A2,2026-04-19,0.3077199173266613
MDP,A3,2026-04-19,0.2308008252309329
Main,A1,2026-04-19,0.46146155655381305
Main,A2,2026-04-19,0.30772817248094736
Main,A3,2026-04-19,0.23081027096523965
