date,strategy,asset,ctr
2026-04-19,EW,A1,0.023174059571793568
2026-04-19,EW,A2,0.023174059571793564
2026-04-19,EW,A3,0.023174059571793568
2026-04-19,EW,B1,0.023174059571793568
2026-04-19,EW,B2,0.023174059571793568
2026-04-19,EW,B3,0.023174059571793564
2026-04-19,GMV,A1,0.023174059571793568
2026-04-19,GMV,A2,0.023174059571793564
2026-04-19,GMV,A3,0.023174059571793568
2026-04-19,GMV,B1,0.023174059571793568
2026-04-19,GMV,B2,0.023174059571793568
2026-04-19,GMV,B3,0.023174059571793564
2026-04-19,CtR-only,A1,0.02317405957179362
2026-04-19,CtR-only,A2,0.02317405957179361
2026-04-19,CtR-only,A3,0.02317405957179362
2026-04-19,CtR-only,B1,0.023174059571793575
2026-04-19,CtR-only,B2,0.023174059571793575
2026-04-19,CtR-only,B3,0.02317405957179341
2026-04-19,MDP,A1,0.02317405957061539
2026-04-19,MDP,A2,0.02317405957061539
2026-04-19,MDP,A3,0.02317405957193552
2026-04-19,MDP,B1,0.023174059572531703
2026-04-19,MDP,B2,0.023174059572531703
2026-04-19,MDP,B3,0.023174059572531703
2026-04-19,CtB-only,A1,0.02317405957179362
2026-04-19,CtB-only,A2,0.02317405957179361
2026-04-19,CtB-only,A3,0.02317405957179362
2026-04-19,CtB-only,B1,0.023174059571793575
2026-04-19,CtB-only,B2,0.023174059571793575
2026-04-19,CtB-only,B3,0.023174059571793415
2026-04-19,Main,A1,0.02317405957179362
2026-04-19,Main,A2,0.02317405957179361
2026-04-19,Main,A3,0.02317405957179362
2026-04-19,Main,B1,0.023174059571793575
2026-04-19,Main,B2,0.023174059571793575
2026-04-19,Main,B3,0.02317405957179341
