strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.16666666666666685
CtB-only,A2,2026-04-19,0.16666666666666685
CtB-only,A3,2026-04-19,0.16666666666666685
CtB-only,B1,2026-04-19,0.16666666666666685
CtB-only,B2,2026-04-19,0.16666666666666685
CtB-only,B3,2026-04-19,0.16666666666666577
CtR-only,A1,2026-04-19,0.16666666666666685
CtR-only,A2,2026-04-19,0.16666666666666685
CtR-only,A3,2026-04-19,0.16666666666666685
CtR-only,B1,2026-04-19,0.16666666666666685
CtR-only,B2,2026-04-19,0.16666666666666685
CtR-only,B3,2026-04-19,0.16666666666666574
EW,A1,2026-04-19,0.16666666666666666
EW,A2,2026-04-19,0.16666666666666666
EW,A3,2026-04-19,0.16666666666666666
EW,B1,2026-04-19,0.16666666666666666
EW,B2,2026-04-19,0.16666666666666666
EW,B3,2026-04-19,0.16666666666666666
GMV,A1,2026-04-19,0.16666666666666666
GMV,A2,2026-04-19,0.16666666666666666
GMV,A3,2026-04-19,0.16666666666666666
GMV,B1,2026-04-19,0.16666666666666666
GMV,B2,2026-04-19,0.16666666666666666
GMV,B3,2026-04-19,0.16666666666666666
MDP,A1,2026-04-19,0.16666666666074548
MDP,A2,2026-04-19,0.16666666666074548
MDP,A3,2026-04-19,0.16666666666962726
MDP,B1,2026-04-19,0.16666666666962726
MDP,B2,2026-04-19,0.16666666666962726
MDP,B3,2026-04-19,0.16666666666962726
Main,A1,2026-04-19,0.16666666666666685
Main,A2,2026-04-19,0.16666666666666685
Main,A3,2026-04-19,0.16666666666666685
Main,B1,2026-04-19,0.16666666666666685
Main,B2,2026-04-19,0.16666666666666685
Main,B3,2026-04-19,0.16666666666666574
