date,strategy,asset,ctb
2026-04-19,EW,A1,0.5773502691896257
2026-04-19,EW,A2,0.5773502691896257
2026-04-19,EW,A3,0.5773502691896257
2026-04-19,GMV,A1,0.5773502691896257
2026-04-19,GMV,A2,0.5773502691896257
2026-04-19,GMV,A3,0.5773502691896257
2026-04-19,CtR-only,A1,0.5773502691896257
2026-04-19,CtR-only,A2,0.5773502691896257
2026-04-19,CtR-only,A3,0.5773502691896257
2026-04-19,MDP,A1,0.5773502691960357
2026-04-19,MDP,A2,0.5773502691960357
2026-04-19,MDP,A3,0.5773502691768061
2026-04-19,CtB-only,A1,0.5773502691896257
2026-04-19,CtB-only,A2,0.5773502691896257
2026-04-19,CtB-only,A3,0.5773502691896257
2026-04-19,Main,A1,0.5773502691896257
2026-04-19,Main,A2,0.5773502691896257
2026-04-19,Main,A3,0.5773502691896257
