date,strategy,asset,ctr
2026-04-19,EW,A1,0.19245008972987526
2026-04-19,EW,A2,0.19245008972987526
2026-04-19,EW,A3,0.19245008972987526
2026-04-19,GMV,A1,0.19245008972987526
2026-04-19,GMV,A2,0.19245008972987526
2026-04-19,GMV,A3,0.19245008972987526
2026-04-19,CtR-only,A1,0.19245008972987526
2026-04-19,CtR-only,A2,0.19245008972987526
2026-04-19,CtR-only,A3,0.19245008972987526
2026-04-19,MDP,A1,0.1924500897341485
2026-04-19,MDP,A2,0.1924500897341485
2026-04-19,MDP,A3,0.19245008972132877
2026-04-19,CtB-only,A1,0.19245008972987526
2026-04-19,CtB-only,A2,0.19245008972987526
2026-04-19,CtB-only,A3,0.19245008972987526
2026-04-19,Main,A1,0.19245008972987526
2026-04-19,Main,A2,0.19245008972987526
2026-04-19,Main,A3,0.19245008972987526
