date,strategy,asset,weight
2026-04-19,EW,A1,0.3333333333333333
2026-04-19,EW,A2,0.3333333333333333
2026-04-19,EW,A3,0.3333333333333333
2026-04-19,GMV,A1,0.3333333333333333
2026-04-19,GMV,A2,0.3333333333333333
2026-04-19,GMV,A3,0.3333333333333333
2026-04-19,CtR-only,A1,0.3333333333333333
2026-04-19,CtR-only,A2,0.3333333333333333
2026-04-19,CtR-only,A3,0.3333333333333333
2026-04-19,MDP,A1,0.3333333333370341
2026-04-19,MDP,A2,0.3333333333370341
2026-04-19,MDP,A3,0.33333333332593185
2026-04-19,CtB-only,A1,0.3333333333333333
2026-04-19,CtB-only,A2,0.3333333333333333
2026-04-19,CtB-only,A3,0.3333333333333333
2026-04-19,Main,A1,0.3333333333333333
2026-04-19,Main,A2,0.3333333333333333
2026-04-19,Main,A3,0.3333333333333333
