date,strategy,asset,ctr
2026-04-19,EW,A1,0.03377229854793576
2026-04-19,EW,A2,0.03358673646800204
2026-04-19,EW,A3,0.023442676098292405
2026-04-19,EW,A4,0.020968515032509568
2026-04-19,EW,A5,0.01756654356705816
2026-04-19,GMV,A1,8.279891019690099e-19
2026-04-19,GMV,A2,0.019452046067199455
2026-04-19,GMV,A3,0.02056995936296306
2026-04-19,GMV,A4,0.02749942590271263
2026-04-19,GMV,A5,0.05167065143020829
2026-04-19,CtR-only,A1,0.024849432855380472
2026-04-19,CtR-only,A2,0.024849223071314448
2026-04-19,CtR-only,A3,0.02484392918538891
2026-04-19,CtR-only,A4,0.024840539993195385
2026-04-19,CtR-only,A5,0.024831432914858224
2026-04-19,MDP,A1,0.006543585461714593
2026-04-19,MDP,A2,0.03243194050617332
2026-04-19,MDP,A3,0.02778943561187071
2026-04-19,MDP,A4,0.025488167715440962
2026-04-19,MDP,A5,0.02971603617416934
2026-04-19,CtB-only,A1,0.014964076840737358
2026-04-19,CtB-only,A2,0.024064843791393214
2026-04-19,CtB-only,A3,0.027793462251983318
2026-04-19,CtB-only,A4,0.025497490895044002
2026-04-19,CtB-only,A5,0.029688741359441575
2026-04-19,Main,A1,0.024849432855370855
2026-04-19,Main,A2,0.024849223071306277
2026-04-19,Main,A3,0.024843929185387567
2026-04-19,Main,A4,0.024840539993198543
2026-04-19,Main,A5,0.024831432914869257
