strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.1026360574245837
CtB-only,A2,2026-04-19,0.16594882540265363
CtB-only,A3,2026-04-19,0.2207370140088894
CtB-only,A4,2026-04-19,0.22182068581503064
CtB-only,A5,2026-04-19,0.2888574173488426
CtR-only,A1,2026-04-19,0.15938362962728445
CtR-only,A2,2026-04-19,0.16050218861982105
CtR-only,A3,2026-04-19,0.20397090561518996
CtR-only,A4,2026-04-19,0.22120501780280902
CtR-only,A5,2026-04-19,0.25493825833489553
EW,A1,2026-04-19,0.2
EW,A2,2026-04-19,0.2
EW,A3,2026-04-19,0.2
EW,A4,2026-04-19,0.2
EW,A5,2026-04-19,0.2
GMV,A1,2026-04-19,6.928729508540177e-18
GMV,A2,2026-04-19,0.1631991185566164
GMV,A3,2026-04-19,0.17257822641751913
GMV,A4,2026-04-19,0.2307152114521482
GMV,A5,2026-04-19,0.43350744357371623
MDP,A1,2026-04-19,0.04501533530782077
MDP,A2,2026-04-19,0.22315776176765462
MDP,A3,2026-04-19,0.220793289469434
MDP,A4,2026-04-19,0.22183769544873594
MDP,A5,2026-04-19,0.28919591800635464
Main,A1,2026-04-19,0.15938362962723823
Main,A2,2026-04-19,0.16050218861978413
Main,A3,2026-04-19,0.2039709056151763
Main,A4,2026-04-19,0.2212050178028238
Main,A5,2026-04-19,0.25493825833497746
